Customer_ID,Customer_Name,Industry,Region,Customer_Size,Signup_Date,Plan_Type,Status
C001,BrightMart Retail,Retail,South,Small,15-01-24,Basic,Active
C002,UrbanKart,Retail,West,Medium,10-02-24,Premium,Active
C003,FreshBasket,Grocery,East,Small,20-03-24,Basic,Churned
C004,MetroStyle Stores,Apparel,North,Medium,05-04-24,Premium,Active
C005,QuickStop Market,Convenience Store,South,Small,12-05-24,Basic,Active
C006,HealthPlus Pharmacy,Pharmacy,East,Medium,18-06-24,Premium,Active
C007,DailyNeeds Mart,Grocery,West,Small,22-07-24,Basic,Active
C008,LuxeHome Decor,Home Goods,North,Large,09-08-24,Enterprise,Active
C009,SmartGear Electronics,Electronics,West,Large,14-09-24,Enterprise,Active
C010,CityFresh Foods,Grocery,South,Medium,02-10-24,Premium,Churned
