Month,Customer_ID,Subscription_Revenue,Transaction_Volume,Transaction_Fee_Revenue,Premium_Analytics_Revenue,Setup_Fee_Revenue,Total_Revenue
01-01-24,C001,299,45000,585,0,500,1384
01-02-24,C001,299,47000,611,0,0,910
01-03-24,C001,299,51000,663,0,0,962
01-04-24,C001,299,53000,689,0,0,988
01-05-24,C001,299,56000,728,0,0,1027
01-06-24,C001,299,59000,767,0,0,1066
01-01-24,C002,799,85000,1105,199,700,2803
01-02-24,C002,799,88000,1144,199,0,2142
01-03-24,C002,799,91000,1183,199,0,2181
01-04-24,C002,799,94000,1222,199,0,2220
01-05-24,C002,799,97000,1261,199,0,2259
01-06-24,C002,799,102000,1326,199,0,2324
01-03-24,C003,299,32000,416,0,500,1215
01-04-24,C003,299,30000,390,0,0,689
01-05-24,C003,299,28000,364,0,0,663
01-06-24,C003,299,25000,325,0,0,624
01-04-24,C004,799,76000,988,199,700,2686
01-05-24,C004,799,80000,1040,199,0,2038
01-06-24,C004,799,84000,1092,199,0,2090
01-05-24,C005,299,38000,494,0,500,1293
01-06-24,C005,299,41000,533,0,0,832
01-06-24,C006,799,69000,897,199,700,2595
