Month,Month_Label,Month_Number,Customer_ID,Subscription_Revenue,Transaction_Volume,Transaction_Fee_Revenue,Premium_Analytics_Revenue,Setup_Fee_Revenue,Total_Revenue
1-1-24,Jan-24,1,C001,299,45000,585,0,500,1384
2-1-24,Feb-24,2,C001,299,47000,611,0,0,910
3-1-24,Mar-24,3,C001,299,51000,663,0,0,962
4-1-24,Apr-24,4,C001,299,53000,689,0,0,988
5-1-24,May-24,5,C001,299,56000,728,0,0,1027
6-1-24,Jun-24,6,C001,299,59000,767,0,0,1066
1-1-24,Jan-24,1,C002,799,85000,1105,199,700,2803
2-1-24,Feb-24,2,C002,799,88000,1144,199,0,2142
3-1-24,Mar-24,3,C002,799,91000,1183,199,0,2181
4-1-24,Apr-24,4,C002,799,94000,1222,199,0,2220
5-1-24,May-24,5,C002,799,97000,1261,199,0,2259
6-1-24,Jun-24,6,C002,799,102000,1326,199,0,2324
3-1-24,Mar-24,3,C003,299,32000,416,0,500,1215
4-1-24,Apr-24,4,C003,299,30000,390,0,0,689
5-1-24,May-24,5,C003,299,28000,364,0,0,663
6-1-24,Jun-24,6,C003,299,25000,325,0,0,624
4-1-24,Apr-24,4,C004,799,76000,988,199,700,2686
5-1-24,May-24,5,C004,799,80000,1040,199,0,2038
6-1-24,Jun-24,6,C004,799,84000,1092,199,0,2090
5-1-24,May-24,5,C005,299,38000,494,0,500,1293
6-1-24,Jun-24,6,C005,299,41000,533,0,0,832
6-1-24,Jun-24,6,C006,799,69000,897,199,700,2595
